#,Company,Symbol,Weight,Price,Chg,% Chg
494,Match Group,MTCH,0.01,31.38,0.43,1.38
495,Lamb Weston,LW,0.01,54.06,-0.03,-0.05
496,AES Corporation,AES,0.01,10.34,0.19,1.87
497,Charles River Laboratories,CRL,0.01,149.19,1.81,1.23
498,Albemarle Corporation,ALB,0.01,60.88,3.06,5.30
499,Invesco,IVZ,0.01,15.25,0.31,2.11
500,APA Corporation,APA,0.01,18.42,0.02,0.14
501,Mohawk Industries,MHK,0.01,103.54,0.66,0.64
502,Caesars Entertainment,CZR,0.01,29.57,1.07,3.74
503,Enphase Energy,ENPH,0.01,36.23,1.67,4.84
