#,Company,Symbol,Weight,Price,Chg,% Chg
77,Boston Scientific,BSX,0.24,98.44,0.73,0.75
78,S&P Global,SPGI,0.24,475.55,-7.33,-1.52
79,KLA Corporation,KLAC,0.24,"1,083.39",-3.62,-0.33
80,Stryker Corporation,SYK,0.23,368.28,-1.47,-0.40
81,Palo Alto Networks,PANW,0.23,206.51,-0.19,-0.09
82,Adobe Inc.,ADBE,0.23,333.71,3.07,0.93
83,Pfizer,PFE,0.23,24.39,-0.00,-0.01
84,Lowe's,LOW,0.22,241.61,0.08,0.03
85,Union Pacific Corporation,UNP,0.22,224.16,-1.56,-0.69
86,Capital One,COF,0.22,207.42,-7.68,-3.57
87,Progressive Corporation,PGR,0.22,221.46,-5.04,-2.22
88,Honeywell,HON,0.21,203.29,0.78,0.39
89,Blackstone Inc.,BX,0.21,160.65,-3.26,-1.99
90,Constellation Energy,CEG,0.21,401.03,-2.92,-0.72
91,Medtronic,MDT,0.20,95.55,0.21,0.22
92,Deere & Company,DE,0.20,452.20,3.74,0.83
93,CrowdStrike,CRWD,0.20,481.10,-7.92,-1.62
94,"Robinhood Markets, Inc.",HOOD,0.20,134.66,0.51,0.38
95,Analog Devices,ADI,0.20,242.82,4.67,1.96
96,DoorDash,DASH,0.19,275.66,3.05,1.12
97,Lockheed Martin,LMT,0.19,496.61,-2.80,-0.56
98,Welltower,WELL,0.19,172.51,0.17,0.10
99,Automatic Data Processing,ADP,0.19,282.00,-2.21,-0.78
100,Prologis,PLD,0.19,122.44,-0.32,-0.26
101,Southern Company,SO,0.18,100.00,0.28,0.28
102,ConocoPhillips,COP,0.18,87.29,-0.45,-0.52
103,Comcast,CMCSA,0.18,29.48,-0.24,-0.81
104,Altria,MO,0.18,64.52,-0.35,-0.54
105,KKR,KKR,0.18,120.48,-3.98,-3.20
106,Newmont,NEM,0.18,97.72,4.14,4.42
107,Chubb Limited,CB,0.18,266.20,-12.11,-4.35
108,Vertex Pharmaceuticals,VRTX,0.17,409.67,1.77,0.43
109,Dell Technologies,DELL,0.17,155.01,1.31,0.85
110,CVS Health,CVS,0.17,81.36,0.69,0.86
111,Duke Energy,DUK,0.17,128.54,-0.13,-0.10
112,"Nike, Inc.",NKE,0.16,67.27,-1.19,-1.74
113,HCA Healthcare,HCA,0.16,419.65,-0.60,-0.14
114,McKesson Corporation,MCK,0.16,788.02,-3.91,-0.49
115,CME Group,CME,0.16,267.74,-0.41,-0.15
116,Starbucks,SBUX,0.16,84.53,1.67,2.02
